Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,0.052005274,0.055504034,0.0449986,0.059028685,0.061713631,0.053090629,0.100814739,0.113118678,0.142400816,0.17446797,0.135418229,0.092097395,0.070664888,0.082832511,0.075608484,0.063979082,0.078417169,0.074261266
Albania,0.713616597,0.650918006,0.374937468,0.310205328,0.281796783,0.227088388,0.205463522,0.171808552,0.189380894,0.2751891,0.265766539,0.245451445,0.264379386,0.267781162,0.258680716,0.228157361,0.20409238,0.191364566,0.168236703,0.163554867,0.158654145,0.163544527,0.142808735,0.145079459,0.148174116,0.137558076,0.128958543,0.140066383,0.132072384,0.117457164
Algeria,0.353665052,0.365450694,0.353156415,0.380742458,0.383407478,0.375694251,0.352924701,0.335548165,0.316645344,0.314154895,0.305647416,0.285131394,0.27854361,0.272711091,0.258386091,0.2489969,0.251677443,0.243977856,0.245151918,0.249589479,0.24232133,0.244054196,0.271308637,0.279163242,0.291898358,0.327364646,0.328628557,0.325935691,0.328859478,0.330915418
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,0.169661425,0.165225456,0.176961622,0.306399393,0.360854432,0.345963524,0.363199315,0.348351924,0.341459453,0.346031556,0.302047004,0.279269707,0.237830787,0.241900271,0.221068047,0.168826938,0.153780998,0.134586069,0.134954421,0.145846739,0.148157328,0.146857237,0.128247686,0.134890613,0.134458866,0.154689368,0.145259536,0.111245006,0.108781955,0.113238474
Antigua and Barbuda,0.289967104,0.287578777,0.366390145,0.293066565,0.268980179,0.297502098,0.28420326,0.274352033,0.285840373,0.280284689,0.258066409,0.280430154,0.304554827,0.29599041,0.265888147,0.248182073,0.229237668,0.213466013,0.218586736,0.714423771,0.270028326,0.297349101,0.395078769,0.273228683,0.27237313,0.27690658,0.26555297,0.264094861,0.246147556,0.235131026
Argentina,0.427885319,0.400421485,0.369593197,0.340855545,0.320044696,0.325477097,0.328803241,0.307688591,0.308199612,0.318928941,0.309108915,0.299480807,0.310357728,0.303896689,0.300614755,0.276503623,0.26340126,0.247291626,0.239507787,0.236829155,0.22695467,0.22155776,0.217104382,0.215685674,0.213835831,0.213970221,0.206907261,0.172534138,0.170702302,0.162613799
Armenia,2.024712605,2.311845076,2.04604734,1.013329599,0.511745153,0.600647998,0.409542244,0.504442024,0.482985088,0.413225218,0.436768308,0.394109778,0.297102598,0.286699751,0.271444054,0.274090564,0.236461904,0.234518225,0.235535965,0.2159502,0.200922094,0.21398695,0.211780494,0.192981424,0.187469203,0.183084614,0.161315002,0.150519124,0.148588237,0.146595819
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,0.888790749,0.858826644,0.841217768,0.805741363,0.780112469,0.766105821,0.745829404,0.722646223,0.724463152,0.696513587,0.672625281,0.649109139,0.624674902,0.593850689,0.57808586,0.55552192,0.52725252,0.505640155,0.487867695,0.45211255,0.446860793,0.411618052,0.397272256,0.358159876,0.337663898,0.342979564,0.336822169,0.326924822,0.308877721,0.293853567
Austria,0.389727689,0.390391989,0.345356212,0.336406476,0.324317722,0.324797742,0.33199884,0.316971041,0.303913406,0.285759664,0.269903895,0.28424201,0.275294329,0.285212555,0.274637878,0.264642407,0.237980937,0.217770976,0.205722425,0.188687307,0.199125111,0.183014044,0.166251738,0.161798164,0.148779643,0.146736714,0.138349738,0.138189936,0.125229152,0.122061879
Azerbaijan,1.418773489,1.345341857,2.076475612,1.992481695,1.694778807,1.823098589,1.479952442,1.339706213,1.204359281,1.090348912,1.017353476,0.863136131,0.770117196,0.747817045,0.660516883,0.531073962,0.388769578,0.274425575,0.267917741,0.203973564,0.182910551,0.200878369,0.202980319,0.191147089,0.193832998,0.220401959,0.22990845,0.229675557,0.226326094,0.235350856
"Bahamas, The",0.356234653,0.374298645,0.479375188,0.379646882,0.356913385,0.355951241,0.315567686,0.262216117,0.34267462,0.296071888,0.267195182,0.253481946,0.262723372,0.258763768,0.236149827,0.207671727,0.195578457,0.189504,0.19754433,0.574482922,0.18846765,0.226735706,0.30307223,0.240245731,0.203895094,0.174445271,0.15929606,0.15828743,0.19588957,0.191564111
Bahrain,0.806683734,0.676041736,0.734459614,0.677089767,0.679849492,0.648853398,0.639605244,0.621536143,0.630045436,0.594137733,0.567088892,0.558493636,0.559051224,0.537321784,0.48885639,0.512279282,0.507367673,0.466525958,0.463809318,0.448714084,0.446455195,0.429687116,0.412445514,0.426040016,0.443494247,0.489097855,0.474688847,0.428158095,0.413413717,0.429146219
Bangladesh,0.109715198,0.096409645,0.097567898,0.096795679,0.098262699,0.111908953,0.106920147,0.113381759,0.108174496,0.106464752,0.106444105,0.117967375,0.119028917,0.116318684,0.114781407,0.111923055,0.111708317,0.107512181,0.108908028,0.110870953,0.11729176,0.116121309,0.109128278,0.105343611,0.102386504,0.10847078,0.102115879,0.101510964,0.097166256,0.0962143
