Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08238983,19.28166008,21.80771065,21.32317924,19.75715065,,14.90291023,18.88828087,,20.79264069,19.02882957,21.56355095,22.1767807,21.75053978,20.63408089,21.87763023,19.61797905,23.20137978,21.85375023,,,,,
Africa Eastern and Southern,AFE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89050961,,,,18.00153923,18.14314079,18.00498962,,16.25814056,,17.54805946,17.02246952,17.31545067,17.24325943,18.0970993,16.9629097,17.19881058,17.15076065,17.30670452,15.35272026,14.56408978,13.65828991
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07999992,12.88000011,12.35999966,16.64999962,17.30999947,17.0675602,16.04842949,14.61999989,14.10280037,14.46592999,12.50899982,13.0909996,12.03320026,11.69606018,11.34377003,10.25386047,10.88010979
Africa Western and Central,AFW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.82036018,15.32380962,15.73152494,14.52521038,16.40001965,17.05552483,16.97918987,17.95463943,18.00916958,18.0316906,18.17561913,17.05757046,14.56353998,14.33288002,14.96360493,12.93987989,13.12199497,12.85488033,16.05843925,16.11419487,14.15939045,14.33998489,14.93462992
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.114679813,,5.255080223,,,,,7.992350101,7.454790115,9.279999733,7.409999847,9.420000076,8.68476963,8.93999958,8.370429993,8.8269701,6.16283989,8.918780327,6.550970078,6.763780117,5.41023016,6.045360088,6.467229843,6.919610023
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15338993,9.624070168,9.682459831,10.13702965,10.58193016,9.886919975,10.57359982,10.70316029,11.35797024,10.93295002,11.17718983,,,11.48573399,12.84000015,13.60999966,12.12390995,12.73999977,11.17755032,13.59696007,12.39080048,10.97069645,13.43000031,12.06999969,
Andorra,AND,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45308018,,,,6.195529938,13.31521034,10.44281006,9.990980148,9.392439842,13.46191978,10.89523983,8.991869926,10.26000023
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74870968,,12.25731516,,11.63000011,13.81999969,12.72817469,11.35673666,10.72887897,11.40542984,11.49756432,10.42715502,11.44999981,11.19604969,12.22610474,12.03050995,11.91267014,
United Arab Emirates,ARE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.474684715,5.302161694,5.542670727,5.489559174,6.069177628,5.155275822,5.501059532,5.364742756,12.67881966,11.70623016,
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39877033,,15.62125969,15.87753963,16.22615051,16.35596085,16.44220924,14.35472012,15.13930035,15.8031702,15.50984001,15.10157013,15.74783993,16.02066994,15.04796982,15.1585598,14.51826,14.45792961,13.79932976,13.96331024,13.35554028,13.26391983,12.52334023,12.5300703,11.91689968,
