"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,422,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,589,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,427,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,547,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,638,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,711,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,708,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,787,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,773,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,830,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,750,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,610,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,554,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,634,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,624,,
