Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,19.18854689,22.8753326,21.40828829,14.6384098,14.62340192,13.82711526,9.453602266,10.4480086,10.8444061,11.05557559,9.692453497,10.6259555,11.33513679,11.09842299,11.20586696,11.03126729,10.52729064,10.47743929,10.37895632,11.10943444,11.15736037,10.97416548,10.84481596,11.02549381,11.45186823,11.11063531,11.26931522,11.49840099,11.28655961,11.34698391
Algeria,16.06693062,14.71876907,16.01793562,17.32418591,17.87462315,16.76378984,15.7743188,16.53837856,17.79190852,16.78723475,13.58394563,14.77507462,15.48712261,14.80339454,13.77264736,11.45042227,11.23157708,11.64349699,13.20671398,16.14528655,17.22675624,20.66808573,20.31803441,19.13577367,19.53101872,21.56034584,20.88986154,18.95041188,17.25792953,18.34246798
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,25.15463272,19.13057854,21.85425979,14.31206294,16.02903718,15.34172241,15.5369347,16.81461154,19.89858608,17.04234586,18.23585922,17.8426333,21.62194873,17.97565865,16.43283283,13.88068508,12.93581932,10.47454356,8.598856284
Antigua and Barbuda,..,..,..,15.9311266,16.22409611,18.27210553,17.98289959,17.30996316,18.56789571,19.16142193,17.29562567,19.47439041,22.00261048,18.52292336,18.32261494,16.46270818,15.01748414,15.31408258,17.76334819,19.52968349,17.86238227,17.54448792,17.58409314,17.17289829,16.71704779,16.26094257,15.74150377,16.02723071,15.24220431,15.09128818
Argentina,3.135428392,3.321761288,2.975538028,13.51037847,13.18690437,13.34945568,12.50167766,12.06201425,12.494775,13.72321141,13.78419131,14.15627431,12.2352473,11.43805679,11.11463607,12.14186124,12.42941537,12.9893239,13.63351326,15.90389675,15.16371789,15.68895652,16.64543781,16.8062378,16.94987574,18.09837976,17.65457819,17.69689392,15.80509716,16.44324159
Armenia,18.3064997,18.50922324,18.54669719,17.19368198,11.54304603,11.32299122,11.34300916,11.47718311,11.29209705,12.23046955,10.7986681,10.34133848,9.169041823,9.384795808,9.356232102,9.710011798,9.26564058,9.398191982,9.395905687,12.28372598,12.04370773,11.91029326,10.90996389,11.93506543,12.08585349,13.11159781,13.45415852,12.31855199,11.48669032,12.5645601
Aruba,..,..,..,..,..,19.96615905,20.16194332,23.59591539,21.97249245,21.85473411,21.41365941,24.83063328,24.88610478,24.43290517,22.89395441,22.84564394,22.32526578,21.4062174,21.24189428,24.83045285,26.4571949,25.11647607,26.16962188,26.19291419,24.81985588,23.24660633,23.4787493,23.0171635,23.55198883,21.96821579
Australia,17.64136118,18.63148264,19.49566372,19.37578084,18.8126981,18.63569256,18.57833202,18.26498128,18.25939377,18.67480544,18.46970521,18.47598515,18.29031499,18.35506432,18.24448253,18.3239524,18.23949048,18.10529237,18.02200393,18.35361594,18.75566039,18.58131998,18.81665885,18.77073709,18.68913804,19.09844422,19.86922773,19.82160848,19.89569285,20.26052431
Austria,17.97567387,18.15779555,18.48991169,19.30041587,19.44436614,19.58965793,19.5657433,19.60079112,19.55305467,19.84366687,19.21971656,18.97616815,18.83869652,18.97963991,18.89135907,19.34627342,19.25829027,18.74479207,19.27213096,20.68421348,20.49254767,19.89656809,19.86069237,19.91594275,19.80284204,19.76169058,19.65110116,19.48926401,19.33938252,19.45938755
Azerbaijan,17.59890859,19.42365269,17.71954939,30.14012739,23.51118228,12.7940763,12.01785845,12.61121489,15.15724002,15.61283145,15.15016638,13.64662503,12.40412371,12.38928147,12.90004924,10.42204033,8.539864079,9.660266921,8.495111767,11.12340772,10.88143177,10.12768327,10.52596006,10.28324911,10.88587304,12.40823832,12.83206344,11.34141244,10.46646357,11.12347093
"Bahamas, The",12.85912824,14.16127747,13.74300418,12.87160414,14.81067812,13.88743074,14.32169576,10.03575286,9.524060399,9.181571266,9.254042917,9.646746808,9.529160605,9.721434619,10.02397494,9.751733393,10.23875679,10.09762355,11.18468554,12.67286184,12.51713591,13.75906737,13.08800895,12.7257924,11.98271311,12.26110488,11.68100316,12.76704214,12.37476285,13.74916621
Bahrain,24.21403421,23.39113902,23.85803851,22.27279701,21.0184379,20.84659547,20.23711024,19.48225948,20.76469829,20.81542562,16.20882426,17.26048503,17.66902494,17.31598197,15.43849076,14.05673324,12.71122009,12.09977872,11.29301873,13.97822783,12.927549,13.83595194,15.44231232,15.55222627,16.12526267,17.6852499,17.11113953,16.62645616,16.28607455,15.68993595
Bangladesh,4.053250168,4.136331634,4.45122187,4.953838696,4.883159453,4.629886125,4.727499218,4.90298209,5.12567978,5.039615203,4.973121383,4.845659837,5.022648565,5.128298617,5.174383111,5.180225165,5.440078557,5.359456215,5.178276878,5.093745166,5.075325836,5.097446688,5.039342518,5.116131642,5.337520757,5.404240381,5.865298315,6.02233216,5.959166931,6.238188771
Barbados,14.19322955,13.35137795,12.18191109,12.4939759,12.12156228,12.33236152,13.29617164,12.99303483,13.42393223,12.99646286,13.53979408,13.77148469,14.63866087,19.33946098,17.67019887,16.69721168,14.50757884,13.01405606,13.32227332,15.85697474,15.42611723,15.46744713,15.21473306,14.79012564,14.34797898,13.60777504,13.42030962,12.14684134,11.79157556,10.90670047
Belarus,23.78752887,22.22222222,15.2173913,18.47715736,20.51368516,20.5497393,20.55160838,20.3219475,19.86467491,19.50365227,19.47853029,21.55276827,21.02929418,21.37930469,20.60317892,20.78531239,19.20736246,18.52317648,16.52497712,16.10007087,16.02139549,13.44835555,13.56669729,13.42981131,13.75426955,14.92176438,15.65314011,15.65284326,15.73949249,16.84297951
Belgium,20.21728507,20.86292584,20.96093107,21.29464265,21.10193383,21.29896512,21.71838622,21.15139792,21.09491806,21.28203985,21.04019715,21.31360634,22.13888154,22.48437234,22.19721265,22.09399763,21.93878853,21.61589482,22.66614469,24.19191348,23.73268609,24.04942657,24.30335286,24.31276726,24.23389585,23.61508745,23.26203662,23.03246309,23.14146612,23.02608405
Belize,8.189262966,8.347245409,13.04974766,12.71637816,13.35061568,13.50030544,13.79917792,15.20737327,15.42669584,15.23076923,14.4265233,15.21926053,15.65287916,15.6779661,15.11335013,14.67670202,13.75711575,14.44575472,14.83516484,16.21541208,16.42220305,16.40560594,16.13242249,16.5065287,16.25350795,17.05496494,17.9765331,18.65704287,19.2224622,18.5392096
Benin,17.56947322,16.18161489,15.75274587,15.25465256,15.63296152,14.44764694,13.51209555,13.21297326,13.11551356,8.145936891,8.08059451,8.083390197,7.786332661,8.8288176,8.809467805,8.991073644,9.666734707,9.568485256,10.23358845,11.28862086,11.21186949,11.02354197,11.12830074,11.04223423,10.18019708,11.41138015,10.28081876,10.47898429,10.41050539,10.34206324
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.81634498,14.04464435,14.10601255,13.65583545,12.83491644,12.50314635,12.13059125,11.62692886,11.72832407,12.25672917
Bhutan,16.95489053,14.18330262,15.01993305,17.10280687,15.54580509,18.82210862,21.69994115,22.78158252,20.26598716,19.03851808,22.70440369,22.23192117,21.2904643,21.03882204,21.49788226,22.51105877,21.80513897,19.57193948,19.41844651,21.90097299,20.46793617,20.55486406,19.63630289,17.75719904,17.35050126,18.25620434,17.27504382,16.80426258,17.11690279,18.2584531
Bolivia,11.75548158,12.07473086,12.87050163,13.37043667,13.5679064,13.57262015,13.32726662,13.903529,14.21887081,14.79789254,14.53929951,15.72413022,15.96789024,16.52114142,16.2585362,15.9745575,14.35423266,14.0586525,13.27737469,14.70876484,13.83121845,13.77710153,13.43962697,13.84151434,14.70704664,17.49525821,17.45825219,17.02164005,17.52564467,18.143092
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,24.60180026,23.40543273,23.43740197,22.79861714,21.90623133,21.65630793,20.97481451,21.08047369,22.08140766,23.46152676,23.12709664,23.08998934,23.36542923,22.82577748,22.86104414,21.99808041,20.96309345,20.27789049,19.76953319,19.41745284
Botswana,24.13663531,24.22858577,26.35775443,27.99667272,28.62365102,30.0544448,26.19377098,28.18232412,30.06915629,27.41094735,24.90272901,23.48663222,22.37912599,22.00871606,20.53234394,19.40074506,27.71491828,27.90796859,30.4963919,35.93833539,30.77473331,28.33153117,31.83878681,31.06358971,29.25375662,31.63940116,28.47572183,28.87784856,29.09879703,31.6984532
Brazil,19.29092009,17.89984408,17.06301559,17.66402304,17.86571651,20.92792486,19.75082652,19.5352948,20.07053158,19.78269077,18.76784574,19.34329501,19.80966235,19.07747849,18.46758392,18.89000143,19.03891693,18.94298761,18.83939288,19.6506384,19.01685785,18.66925693,18.53010326,18.892479,19.15353871,19.77681995,20.37929743,20.1619047,19.89508778,19.98358128
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,22.0184924,22.58014073,23.33088775,25.83659934,27.02226494,26.75111773,25.21835575,25.16521964,29.86725664,28.61356932,25.81437193,29.39855955,27.16979368,24.06778542,22.0528861,18.4087001,18.06175861,22.62047295,17.1409802,23.28761858,22.15088283,18.72720251,18.43938971,20.16431821,21.41841615,25.06167623,26.22271781,26.47721239,24.1412808,25.04039622
Bulgaria,18.18658489,19.03316139,20.33615538,18.85580462,17.18930746,15.34816415,13.84900548,12.14316755,18.3452571,19.60650301,19.78511197,19.3684559,19.17815384,20.11058982,19.36190989,18.15356665,18.14694053,16.68832576,17.14982579,16.73935743,16.50446634,15.85032827,15.79052344,17.08486874,16.83265399,16.08416117,15.58277019,15.57641051,16.4143433,16.70318393
Burkina Faso,21.05699527,21.69109965,21.73352836,21.34021482,26.06491754,25.19868555,24.38959409,23.73326288,22.29735612,12.05836398,14.1091885,14.62560116,14.5898516,13.58686083,14.2360467,13.79282752,15.10212002,16.69010982,14.67009284,15.21962462,14.45752802,14.28662538,14.25458177,14.65558629,15.47477861,15.94408026,16.5070966,17.73932315,18.41940948,20.24347648
Burundi,10.81608022,10.76839328,19.237589,20.49144378,17.41392485,19.05028755,19.99239833,16.77362894,17.14142929,18.15985946,14.85669833,15.53307382,14.73298684,17.46133527,19.2272663,14.09999967,15.2,19.00000068,20.20000115,19.70000123,21.90000028,22.9000005,23.29982429,24.70016952,25.90000619,22.42238344,23.47319363,25.08628881,26.21026746,27.24477
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.45978417,16.8816656,18.18412911,18.42871582,18.52364207,17.26812,17.45791038,18.45179052,18.85223395,17.29058071,17.99359926,17.79866074,17.61331255
Cambodia,..,..,..,4.491109789,6.933683501,5.841334127,5.749843143,5.450695658,4.804494136,4.943154789,5.232797916,5.29592179,5.442047894,5.260388817,4.48365412,4.070103745,3.460335507,5.730862562,5.634532192,6.162505464,6.344682164,6.019418186,5.782096548,5.612738352,5.493939062,5.397979837,5.209980457,5.123498321,4.926273171,4.806798236
Cameroon,12.7505372,13.27465387,12.81256814,13.6675396,11.42689138,10.81617124,11.52610394,10.84948811,10.55767656,11.06480784,10.79211344,11.67116711,11.160752,11.19422637,10.995433,10.69015409,9.921182378,10.070574,11.04109159,11.26066869,11.41305741,12.05470465,12.25795412,12.26440519,12.05893304,12.25388558,12.12434562,11.68042445,11.92001884,12.09635125
Canada,22.69995397,24.10329309,24.52714244,23.96401865,22.74875334,21.72772816,20.82861253,19.85334576,19.83660433,19.32073772,19.10641618,19.50932038,19.77871921,19.89620177,19.41748445,19.07591098,19.24876418,19.2505356,19.71943948,21.96458551,21.47545746,21.14586686,21.05784518,20.70433471,20.26656013,20.87782513,21.04804019,20.70333139,20.68152216,20.83356769
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.013835678,2.111332723,2.354227296
Central African Republic,15.37979121,16.63007924,17.12658841,15.25008078,16.48369786,14.91329064,12.90660621,11.85407002,11.46030283,16.98323652,16.28453179,14.01013716,13.82937553,10.35783884,10.43260003,8.707973735,6.858067101,6.366866727,7.052392414,7.184390029,7.6361827,7.147708757,10.91988598,17.35920513,15.53093382,14.77679854,14.40810862,14.06703431,7.700010003,8.044640002
Chad,10.04603096,8.913432097,9.198175563,10.04728089,8.07569996,7.268659871,7.895576435,6.527305189,5.628532784,6.926312606,7.71826323,7.489949809,7.705368022,7.587906257,4.908589657,4.157404184,4.573243005,5.999653877,6.266769431,7.59312024,6.735291521,6.483806858,6.876145246,7.92415727,6.225829377,5.1450878,4.211686912,4.32522476,3.603393277,3.587512578
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,9.754708883,9.66571147,9.673892844,10.03354285,9.948696401,9.829099681,11.30423878,11.43764382,11.80758644,12.6522046,12.59092587,12.64309768,12.74859387,12.17818844,11.43020951,10.95363055,10.29711546,10.54595528,11.26492919,12.86852779,12.54617695,12.31119091,12.32593151,12.78558422,13.22632598,13.59211772,14.34266762,14.6487132,14.85647376,15.22507926
China,13.65652116,14.00163365,14.44066306,14.35274032,14.09123646,13.3081123,13.19822745,13.75263695,14.94601068,16.36569096,16.83842985,16.41343935,16.07042441,15.31420932,14.62534231,14.79766254,14.82051595,14.62676193,14.48561439,14.75297613,14.58702058,15.23886494,15.75607839,15.88401589,15.81704465,16.21788677,16.36375556,16.32486222,16.53580834,16.77051091
Colombia,12.45246549,11.75927204,13.1328297,14.05157033,14.47345442,14.94837659,17.99453387,19.92131364,20.30693579,22.16059307,16.47285056,16.56623172,16.04089303,15.61034717,15.68159812,13.95617207,13.8806197,13.73002945,13.14394591,13.80414455,13.76024703,13.34926166,13.47547738,14.09732346,14.24375052,14.81162979,14.54128472,14.88064263,15.42148086,15.77323342
Comoros,11.04471232,11.04535995,11.04521501,11.04508804,11.04506809,11.04466806,11.04508062,11.04522519,11.04502403,11.04479978,11.04499158,11.04484503,11.04488253,11.04505724,11.04483448,11.04506128,11.04513281,10.72412622,10.93415348,11.47677026,11.13884379,10.65996305,10.04360077,9.326758199,10.27523237,10.59190468,10.61491606,10.82377663,10.22968894,10.0948841
"Congo, Dem. Rep.",..,..,..,..,4.363884361,4.913705553,6.200801208,7.801250098,8.100181264,5.912303276,2.05758943,3.800208127,5.87923215,4.945813468,6.254870403,5.399832277,5.952653661,6.947721592,8.251785375,7.089938931,7.295109631,8.064458772,7.821260076,8.18503982,8.321767277,9.056194741,7.437957422,5.45682326,6.317593895,6.929147319
"Congo, Rep.",19.55380577,27.74034084,26.93173622,27.66109722,21.81399894,15.72384927,12.84604139,20.94740724,24.19615686,15.05809701,11.56806979,14.08973295,18.35716661,17.35899203,14.97271765,12.50582885,12.7495181,16.80096905,12.14104676,13.41179285,10.5717695,12.83495749,13.75715304,14.0730174,16.74018348,20.19043707,22.79309595,19.2923517,14.5945705,13.26638909
Costa Rica,18.15985108,13.19291645,12.11002903,12.77178124,13.29787829,12.92668854,13.06292766,12.62399505,12.730243,13.28710992,13.72782618,14.29631238,14.68906425,14.49746544,13.9764073,13.51288119,13.16504106,12.80526867,13.57747474,15.74812812,16.62071064,16.96183622,16.7900477,17.13018914,17.01130325,16.96024191,16.70867908,16.35817465,16.19573389,16.75120098
Cote d'Ivoire,16.79974696,16.36124862,17.44182079,15.47440268,12.02411027,10.60824153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.742420019,9.517161524,10.16527119,10.24097815,10.11321959
Croatia,..,..,..,..,..,25.26896443,22.94809336,22.24593705,23.18899533,24.10292666,22.17782449,20.14244183,19.92803156,19.34347436,19.42493321,19.3041338,19.22010747,19.98968164,19.61521392,21.55321446,21.58511155,21.82278759,21.83636293,21.68958932,22.00426052,21.28231271,20.81684328,20.69668489,20.73685152,20.69372704
Cuba,31.00158823,33.31097159,34.79865259,35.38242433,27.26595595,24.39377861,26.55355197,26.83483664,27.67312615,28.92478548,29.59629123,30.88781153,34.10451139,33.73316909,35.47967332,33.6483605,32.2340401,35.40975942,39.88073604,38.96101804,34.75935829,35.42107552,31.91506816,32.44672577,32.40676453,32.20593805,31.89558936,30.8380915,30.04497751,32.23208416
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.07376605,15.95109404,16.66394426,16.01365226,16.5291213,16.19185328,15.76671809,15.35676684,13.98878986,15.57718035,15.68530249,16.04588244,16.21310562,..,..
